epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,0.1,1.9418027273246221,0.31607142857142856,1.2696419903210232,0.48214285714285715,0.48214285714285715
2,0.1,1.6317599967122078,0.3607142857142857,1.2479027262755802,0.48928571428571427,0.48928571428571427
3,0.1,1.5438606004629816,0.3794642857142857,1.293408909014293,0.4607142857142857,0.48928571428571427
4,0.1,1.5004806997520583,0.3982142857142857,1.262775159733636,0.4982142857142857,0.4982142857142857
5,0.1,1.4373707696795464,0.43080357142857145,1.0765766113996507,0.5357142857142857,0.5357142857142857
6,0.1,1.3500647968479564,0.45669642857142856,1.0516982214791435,0.5535714285714286,0.5535714285714286
7,0.1,1.4719379886984825,0.415625,1.1645580393927437,0.5035714285714286,0.5535714285714286
8,0.1,1.3639811066644532,0.45223214285714286,0.9837577870913914,0.5785714285714286,0.5785714285714286
9,0.1,1.3516351250665528,0.45982142857142855,1.194223472050258,0.5303571428571429,0.5785714285714286
10,0.1,1.2959505360041346,0.48482142857142857,1.0134449567113604,0.5767857142857142,0.5785714285714286
11,0.03,1.1938334015863283,0.5174107142857143,0.8475530760628837,0.6517857142857143,0.6517857142857143
12,0.03,1.1547411244894776,0.5223214285714286,0.8749858185648918,0.6321428571428571,0.6517857142857143
13,0.03,1.1066718766731876,0.5433035714285714,0.7978112514529909,0.6857142857142857,0.6857142857142857
14,0.03,1.1096815183758735,0.5433035714285714,0.9465827648128782,0.5821428571428572,0.6857142857142857
15,0.03,1.099020987536226,0.5638392857142858,0.8791613114731652,0.6160714285714286,0.6857142857142857
16,0.03,1.1000765225717,0.54375,0.9939749794346946,0.6410714285714286,0.6857142857142857
17,0.03,1.090752849834306,0.540625,0.8544820393834796,0.675,0.6857142857142857
18,0.03,1.0837602380130973,0.5508928571428572,0.8586590204920087,0.6428571428571429,0.6857142857142857
19,0.03,1.0704027901802744,0.5607142857142857,0.8538734585046768,0.6535714285714286,0.6857142857142857
20,0.03,1.097688981358494,0.5669642857142857,0.9215234994888306,0.6196428571428572,0.6857142857142857
21,0.009,0.9879347459546157,0.5790178571428571,0.866718989610672,0.6732142857142858,0.6857142857142857
22,0.009,0.962757583707571,0.5982142857142857,0.824942228623799,0.7017857142857142,0.7017857142857142
23,0.009,0.9745676891079971,0.5883928571428572,0.8745914208037513,0.6446428571428572,0.7017857142857142
24,0.009,0.9996380825127874,0.5821428571428572,0.8694555874381746,0.6482142857142857,0.7017857142857142
25,0.009,0.9476110106067998,0.615625,0.9246526488236019,0.6678571428571428,0.7017857142857142
26,0.009,0.9686762963022505,0.6022321428571429,0.860484687771116,0.6982142857142857,0.7017857142857142
27,0.009,0.970964561083487,0.5986607142857143,0.8903841997895922,0.6339285714285714,0.7017857142857142
28,0.009,0.9708731253232274,0.6066964285714286,0.8745109937020711,0.7017857142857142,0.7017857142857142
29,0.009,0.9559156230517796,0.6084821428571429,0.871123559985842,0.6678571428571428,0.7017857142857142
30,0.009,0.9700100543243545,0.6169642857142857,0.8184194469026157,0.6982142857142857,0.7017857142857142
31,0.0026999999999999997,0.9212585690830435,0.6303571428571428,0.8410449006727764,0.6839285714285714,0.7017857142857142
32,0.0026999999999999997,0.9178706677896636,0.6290178571428572,0.8729431369474956,0.6678571428571428,0.7017857142857142
33,0.0026999999999999997,0.9048214679317815,0.6214285714285714,0.7488853139536721,0.7160714285714286,0.7160714285714286
34,0.0026999999999999997,0.9228683506803853,0.6254464285714286,0.8405907890626363,0.7142857142857143,0.7160714285714286
35,0.0026999999999999997,0.9082153049962861,0.6348214285714285,0.8271666024412427,0.6767857142857143,0.7160714285714286
36,0.0026999999999999997,0.9137228825262614,0.6303571428571428,0.8368165756974901,0.6660714285714285,0.7160714285714286
37,0.0026999999999999997,0.9197709153273276,0.6330357142857143,0.878520582829203,0.6982142857142857,0.7160714285714286
38,0.0026999999999999997,0.898029214143753,0.6446428571428572,0.877263760140964,0.675,0.7160714285714286
39,0.0026999999999999997,0.8747668910239425,0.6428571428571429,0.767279212815421,0.7214285714285714,0.7214285714285714
40,0.0026999999999999997,0.9152737084243979,0.6379464285714286,0.8206722106252398,0.6875,0.7214285714285714
41,0.0008099999999999998,0.9027925580739975,0.6375,0.823293707200459,0.6946428571428571,0.7214285714285714
42,0.0008099999999999998,0.9010581707315786,0.6379464285714286,0.8764355599880218,0.6946428571428571,0.7214285714285714
43,0.0008099999999999998,0.9080277232187135,0.6316964285714286,0.8587300513471876,0.7053571428571429,0.7214285714285714
44,0.0008099999999999998,0.8847427380936487,0.6540178571428571,0.8004504348550524,0.7160714285714286,0.7214285714285714
45,0.0008099999999999998,0.881713238890682,0.6508928571428572,0.7978673530476433,0.7160714285714286,0.7214285714285714
46,0.0008099999999999998,0.8644376993179321,0.6580357142857143,0.7223268010786601,0.7339285714285714,0.7339285714285714
47,0.0008099999999999998,0.8948114138628755,0.6464285714285715,0.813378358738763,0.6964285714285714,0.7339285714285714
48,0.0008099999999999998,0.9090783725891795,0.6272321428571429,0.7935016874756132,0.6946428571428571,0.7339285714285714
49,0.0008099999999999998,0.8827537676053387,0.6473214285714286,0.8334393130881446,0.7053571428571429,0.7339285714285714
50,0.0008099999999999998,0.8917782236422811,0.6433035714285714,0.8667389222553799,0.6982142857142857,0.7339285714285714
51,0.00024299999999999994,0.8827377387455532,0.65,0.8458271401269095,0.7142857142857143,0.7339285714285714
52,0.00024299999999999994,0.884239056387118,0.6553571428571429,0.8899219091449465,0.6946428571428571,0.7339285714285714
53,0.00024299999999999994,0.8791921336735998,0.6446428571428572,0.8239702088492257,0.7017857142857142,0.7339285714285714
54,0.00024299999999999994,0.9056911039565291,0.6433035714285714,0.840400008218629,0.6875,0.7339285714285714
55,0.00024299999999999994,0.8731697018657412,0.6522321428571428,0.7961278587579728,0.7,0.7339285714285714
56,0.00024299999999999994,0.8945751421153545,0.6308035714285715,0.8188173225947789,0.6982142857142857,0.7339285714285714
57,0.00024299999999999994,0.890129720632519,0.640625,0.8560690437044416,0.6892857142857143,0.7339285714285714
58,0.00024299999999999994,0.8914459685129779,0.6388392857142857,0.8276113671915871,0.6821428571428572,0.7339285714285714
59,0.00024299999999999994,0.8700619819441012,0.653125,0.8123558448893683,0.7160714285714286,0.7339285714285714
60,0.00024299999999999994,0.9005306995340756,0.6517857142857143,0.7744352153369358,0.7178571428571429,0.7339285714285714
61,7.289999999999998e-05,0.8858055295688766,0.6419642857142858,0.8683912813663482,0.7053571428571429,0.7339285714285714
62,7.289999999999998e-05,0.9042439788579941,0.6433035714285714,0.8893906759364264,0.7017857142857142,0.7339285714285714
63,7.289999999999998e-05,0.8815913982689381,0.6495535714285714,0.7785494761807578,0.7285714285714285,0.7339285714285714
