epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,0.1,7.5602323140416825,0.19151785714285716,18.734091118403843,0.20892857142857144,0.20892857142857144
2,0.1,2.4690105659621104,0.24419642857142856,1.6756444249834332,0.24642857142857144,0.24642857142857144
3,0.1,1.6119963083948408,0.33839285714285716,1.3677071639469691,0.44285714285714284,0.44285714285714284
4,0.1,1.4691691909517561,0.3607142857142857,1.2902376072747366,0.3821428571428571,0.44285714285714284
5,0.1,1.3881047316959927,0.36026785714285714,1.3282962730952672,0.4125,0.44285714285714284
6,0.1,1.3204033979347773,0.4174107142857143,1.636091181210109,0.37142857142857144,0.44285714285714284
7,0.1,1.2918301105499268,0.41517857142857145,1.106333328996386,0.4517857142857143,0.4517857142857143
8,0.1,1.2708295583724976,0.4263392857142857,1.2273033346448625,0.44642857142857145,0.4517857142857143
9,0.1,1.223509451321193,0.45982142857142855,1.0642161624772208,0.5410714285714285,0.5410714285714285
10,0.1,1.194681294475283,0.46964285714285714,1.0402227572032383,0.525,0.5410714285714285
11,0.03,1.086272269487381,0.5263392857142857,0.9195743799209595,0.5875,0.5875
12,0.03,1.0377917970929826,0.5419642857142857,0.9274223242487226,0.6053571428571428,0.6053571428571428
13,0.03,1.002183881827763,0.5611607142857142,0.8855451158114842,0.6089285714285714,0.6089285714285714
14,0.03,1.0443638520581382,0.5464285714285714,0.8955631358282906,0.6107142857142858,0.6107142857142858
15,0.03,1.0177165499755314,0.5566964285714285,0.8727255480630057,0.6428571428571429,0.6428571428571429
16,0.03,0.9718617260456085,0.5950892857142858,0.9817560706819807,0.5767857142857142,0.6428571428571429
17,0.03,0.963720554964883,0.5839285714285715,0.790064856835774,0.6732142857142858,0.6732142857142858
18,0.03,0.9398259682314737,0.6116071428571429,0.9147828016962324,0.6142857142857143,0.6732142857142858
19,0.03,0.94781996011734,0.6116071428571429,0.8248996666499546,0.6785714285714286,0.6785714285714286
20,0.03,0.9409766903945378,0.6209821428571428,0.8032410621643067,0.6660714285714285,0.6785714285714286
21,0.009,0.9210652930395944,0.6111607142857143,0.7764261169092995,0.6678571428571428,0.6785714285714286
22,0.009,0.8985373505524227,0.6370535714285714,0.7564438939094543,0.6982142857142857,0.6982142857142857
23,0.009,0.8691542378493717,0.6410714285714286,0.7398074729101999,0.6875,0.6982142857142857
24,0.009,0.8858422577381134,0.646875,0.8087196860994611,0.6517857142857143,0.6982142857142857
25,0.009,0.8746147871017456,0.6388392857142857,0.742635634967259,0.675,0.6982142857142857
26,0.009,0.8644038702760424,0.6397321428571429,0.7357394933700562,0.6910714285714286,0.6982142857142857
27,0.009,0.8584994196891784,0.64375,0.7277451736586434,0.7071428571428572,0.7071428571428572
28,0.009,0.8668309501239232,0.6526785714285714,0.7449253976345063,0.7,0.7071428571428572
29,0.009,0.8639360163893018,0.6459821428571428,0.775544262783868,0.675,0.7071428571428572
30,0.009,0.8458983080727713,0.653125,0.7315254722322736,0.7089285714285715,0.7089285714285715
31,0.0026999999999999997,0.8525086113384792,0.6575892857142858,0.7159184983798436,0.7107142857142857,0.7107142857142857
32,0.0026999999999999997,0.8364983767271041,0.6625,0.7038550666400365,0.7285714285714285,0.7285714285714285
33,0.0026999999999999997,0.8492349607603891,0.6629464285714286,0.7044258211340223,0.7142857142857143,0.7285714285714285
34,0.0026999999999999997,0.8026802837848663,0.6714285714285714,0.704382016829082,0.7285714285714285,0.7285714285714285
35,0.0026999999999999997,0.8487627829824175,0.653125,0.7147754924637931,0.7089285714285715,0.7285714285714285
36,0.0026999999999999997,0.8456185059888023,0.6580357142857143,0.6953765324183873,0.7232142857142857,0.7285714285714285
37,0.0026999999999999997,0.8307726195880345,0.6665178571428572,0.6888972231319972,0.725,0.7285714285714285
38,0.0026999999999999997,0.8008368125983647,0.6772321428571428,0.6813607207366399,0.7303571428571428,0.7303571428571428
39,0.0026999999999999997,0.8358834620032992,0.6714285714285714,0.7012489199638366,0.7035714285714286,0.7303571428571428
40,0.0026999999999999997,0.8186762877873012,0.6633928571428571,0.6784785211086273,0.7375,0.7375
41,0.0008099999999999998,0.8251863564763751,0.6691964285714286,0.6858100780418941,0.7303571428571428,0.7375
42,0.0008099999999999998,0.7831553978579385,0.684375,0.6721592434814998,0.7446428571428572,0.7446428571428572
43,0.0008099999999999998,0.815721242768424,0.6638392857142857,0.6809208052498954,0.7303571428571428,0.7446428571428572
44,0.0008099999999999998,0.8223891224179949,0.6616071428571428,0.6818508608000619,0.7285714285714285,0.7446428571428572
45,0.0008099999999999998,0.8111906468868255,0.6732142857142858,0.6839486215795789,0.7339285714285714,0.7446428571428572
46,0.0008099999999999998,0.8041119626590184,0.6727678571428571,0.6825693198612758,0.7410714285714286,0.7446428571428572
47,0.0008099999999999998,0.8196384676865169,0.6616071428571428,0.6879453812326703,0.7339285714285714,0.7446428571428572
48,0.0008099999999999998,0.8254597740513938,0.6772321428571428,0.6877781212329864,0.7178571428571429,0.7446428571428572
49,0.0008099999999999998,0.8280456364154816,0.6683035714285714,0.687050085408347,0.7321428571428571,0.7446428571428572
50,0.0008099999999999998,0.8232212552002498,0.6665178571428572,0.6764951024736677,0.75,0.75
51,0.00024299999999999994,0.8097268283367157,0.6816964285714285,0.668864791733878,0.7446428571428572,0.75
52,0.00024299999999999994,0.8117242361818041,0.6669642857142857,0.6772991759436471,0.7410714285714286,0.75
53,0.00024299999999999994,0.7962550035544804,0.6799107142857143,0.6787914974348885,0.7285714285714285,0.75
54,0.00024299999999999994,0.8014608544962747,0.6767857142857143,0.6849774096693312,0.7321428571428571,0.75
55,0.00024299999999999994,0.8118224620819092,0.671875,0.6839407801628112,0.7214285714285714,0.75
56,0.00024299999999999994,0.7976992794445583,0.6821428571428572,0.6941924129213606,0.7303571428571428,0.75
57,0.00024299999999999994,0.8029395299298423,0.6665178571428572,0.6732738239424569,0.7517857142857143,0.7517857142857143
58,0.00024299999999999994,0.8068989370550428,0.6723214285714286,0.6681864891733442,0.7446428571428572,0.7517857142857143
59,0.00024299999999999994,0.8043665102549962,0.6839285714285714,0.6901828816958836,0.7232142857142857,0.7517857142857143
60,0.00024299999999999994,0.8066018027918679,0.6674107142857143,0.6777914566653115,0.7321428571428571,0.7517857142857143
61,7.289999999999998e-05,0.8249011427164078,0.6696428571428571,0.6697300093514579,0.7482142857142857,0.7517857142857143
62,7.289999999999998e-05,0.803363698720932,0.6683035714285714,0.6895049452781677,0.7232142857142857,0.7517857142857143
63,7.289999999999998e-05,0.8240921599524361,0.6705357142857142,0.6781892785004207,0.7303571428571428,0.7517857142857143
64,7.289999999999998e-05,0.7873613366058895,0.6785714285714286,0.6682441685880933,0.7410714285714286,0.7517857142857143
65,7.289999999999998e-05,0.824787038564682,0.66875,0.6730305944170271,0.7410714285714286,0.7517857142857143
66,7.289999999999998e-05,0.7989906770842415,0.6669642857142857,0.6688893258571624,0.7375,0.7517857142857143
67,7.289999999999998e-05,0.8067530512809753,0.6691964285714286,0.6799163716179984,0.7375,0.7517857142857143
68,7.289999999999998e-05,0.8316344218594688,0.6669642857142857,0.6794623707021986,0.7285714285714285,0.7517857142857143
